review_contents,individual_rating
Everyone around said that in Russia everyone especially in winter should drink vitamin D. But I decided not to believe in a word and check my level of vitamin D in the laboratory. The result was so-so though not quite critical - 38. I decided to raise D to the maximum value because it is necessary for bones hair immunity cancer prevention good mood and much more. The ordered this drug and drank it for 2 months basically drank 2 tablets a day sometimes 4 you can take such doses every day and only if you passed the tests and you know exactly what vitamin D you have where to raise. 2 month new test results showed 90. I'm happy the drug is 100% working. I did not notice anything especially on the symptoms but the results of the tests speak for themselves which means that there is definitely a benefit. Now I will drink a prophylactic dose for the first pill until spring and sun just like  Plus this drug is that it has Of. Without this supplement vitamin D can be harmful to blood vessels. And do not forget to drink with fatty foods. All of health,5
To far I can not appreciate the dignity of this drug but I assume that the worker because after 10 days of administration pulls the muscles of the legs. Is it turned out later this is from a lack of magnesium  Is for the assimilation of vitamin D calcium by the way too you need magnesium And his in our time the lack of all. To be sure to drink along with magnesium in working form glycinate citrate murat. They are compatible in one go. Magnesium daily dosage of 400. But in such a situation the first month you can safely drink 800. Overdose DOES NOT HAPPEN. Vitamin D is the first 3 months to drink 10000 - it slowly grows in the majority and quickly falls. And do not forget that the result of the analysis for it D by the ELISA method must be divided by 2,5
Very cool product I recommend it to everyone,5
I am surprised by the reviews of people who describe subjective perceptions. Before you take this complex you need to understand why we plan to take it. Objective indications for use of these dosage are the results of a blood test 25 of D. He showed me 28 no  my. That says about his lack of a healthy body. Accordingly in order to replenished it medicinal dosage of vitamin D are needed which for my body weight of 85 g is 10000 of per day. Because Vitamin D is fat double and accumulates in the body gradually it must be taken for 3 months after which it is necessary to pass a repeated analysis and make a further decision on the dosage taken. Due to the fact that vitamin D in therapeutic doses which are determined on the basis of age and body weight has a significant effect on the body it must be taken together with Of the preferred form of which will be MK7. Why MK7 In this form the half-life is longer due to which the percentage of vitamin D absorption is higher and the probability of possible side effects associated with the effect of significant dosage of D on calcium is correspondingly lower. And the opinions of people taking the drug good does not work are not justified. You will notice the effect only at course acceptance and only in the results of analyze.,5
cool very cool product recommend it,5
Because of the large can they noticed that there are not enough capsules. And I decided to count more for the sake of interest In the bank instead of 60 declared capsules only 56  It’s a pity that we pay for the goods which are not. I attach the photo.,1
Very very cool product I recommend,5
After a course of these vitamin as my nutritionist suggested the immunity became stronger I stopped taking cold and pain every 2 weeks as it was before I feel cheerful and positive I have a lot of energy and strength for work. One are the petty feminine worries that occasionally caused trouble perhaps because the general immunity has become stronger. In addition practice has shown that it is MUCH EASIER of LOSE WEIGHT with this vitamin The nutritionist advised to monitor the level of vitamin D and prescribe it regularly to KEEP WEIGHT of NORMAL. I recommend these vitamin and try the incredibly cool effect of their use. But Remember to monitor your vitamin levels before and after. Also do not self-meditate but contact specialists who will help you choose the most suitable drug for you and the scheme for its use even if the question is about vitamin. Ask questions I will be happy to answer. All health love and good mood,5
A very good complex for raising the level of vitamin do it helped me to raise in a month from a clinically low level to normal With vitamin Of vitamin Of is absorbed and works better. Therefore here either they can be drunk together as in this complex or separately.,5
I regularly drink with children in the autumn-winter period to maintain the proper level. I order for the third year in a row.,5
Line I never thought that Richer would go down to this ... I didn’t receive the goods I wrote about it no one returned the money wrote about it in the review ... the review was delete the account was also blocked  the guns work well,1
Working vitamin D in good dosage fortified with vitamin Of for better and proper absorption. Maintains vitamin D levels at the required levels. Constant purchase I take a small jar then a large one which is available at the time of purchase,5
His is not the first time I order this supplement. These two vitamin work much more effectively together to support bone and cardiovascular health as well as proper calcium levels in the body.,5
His food supplement contains some of the most essential vitamin for the body. Excellent dosage. Convenient to take.,5
Two essential vitamin that work in combination one of the best supplement manufacturers I highly recommend this drug. The effect is amazing we have been drinking for several months.,5
I love that this supplement contains vitamin K-2 in addition to the vitamin D-3 we need. A good combination of price and quality.,5
They drank the whole family. Raises vitamin D perfectly. I attach a photo of my son. He drank for 3 months if it ends up they took another one on trial but we pass an analysis for dynamic,5
I got tested for It D and it became clear that I needed not prevention but a direct therapeutic dose. I bought this product and additional just It D. I drank the whole can not at a time of course  - once a day and passed It D again - the result is simply above all praise - 110 Those. he completely restored my deficit. I recommend,5
I really like this vitamin Of it comes with k for better absorption. I drink on an going basis I feel cheerful with ARVI I take 5-6 tablets a day along with vitamin C and zinc the disease does not progress. Recommend at purchase. Please like it if you liked the review and was helpful,5
I bought vitamin D of this particular brand on the recommendation. I drink according to the scheme. Convenient dosage. But before drinking it is worth taking an analysis and consulting a doctor. I will definitely order more. The price is more than reasonable.,5
In excellent it.do with it.k for good assimilation of the first. In excellent scheme for increasing it.Of is as follows for the st month we take 10000 per day 2 capsules for the and month for 7000 it is convenient to drink 1 capsule and on weekend - 2 capsules and the rd month - 5000 1 capsule per day. Scheme Effective specifically for raising it D.3 then we use a lower dosage for prevention. The circuit has been tested by many people including me. Of course it is better to take it.do before and after the start of the course. And make sure,5
The intake of vitamin Of was prescribed by the doctor according to the test results. It was recommended just in combination with Of. Is soon as this jar ends I will take a second test but I am already sure of the results since there is an excellent therapeutic dosage here.,5
Good dosage and combination of vitamin. I take 1 capsule a day during cold. The capsules are small. There are no problems with swallowing.,5
