review_contents,individual_rating
Took to normalize sleep and calm the nerves. Stains urine removing excess.,5
Dietary supplement from must Century are definitely better than pharmacy ones  Despite such a mediocre composition these vitamin are an excellent alternative to pharmacy vitamin only cheaper. A big plus of the must century in front of most pharmacy vitamin and mineral complete is the indication of complete information about the composition the forms of vitamin and minerals their% ratio of the daily requirement while our pharmacy complete do not contain such information. I believe that the must Century brand a worker has never let down a budget segment but this does not bother me it is important that there is a result of 100%,5
Unfordable complex of vitamin B. Helps with diseases of the musculoskeletal system. After drinking this vitamin complete I felt an improvement in the work of the knee joint.,5
With a lack of it.group B there are Of-disease take-take Of-dermatitis cracks. ulcers in the mouth mucous membranes suffer Of- dryness pallor of the skin softness of the tongue gastrointestinal tract nervous system Of- lethargy fatigue depression Of- drowsiness irritability dermatitis conjunctivitis Of- in pregnant women to fatal pathologist B12- malignant anaemia ulcers on the tongue limbs grow numb vision deteriorated. Vitamin of group B are very important for the health of our body. Of my review was useful for you please rate,4
Good price product but i did not feel so much freshness .,4
In excellent vitamin complex To side effects were found,5
I've been buying it and I'm in a hurry,5
In expensive option for group b vitamin.,4
I took it to raise energy because I feel tired.,5
The sustained-release type B group is very good and can be absorbed slowly in the body,5
Saturated the brain with oxygen. Improves mental capacity. Needed to strengthen the immune system,5
very good vitamin especially with a slow release I recommend,5
Rank with the whole family felt great. I will order more,5
Convenient high-quality product I take it as a course I advise it as an expensive and high-quality drug,5
His is not the first time I order this complex a convenient dosage - only 1 capsule per day the packing is enough for 2 months. I order mainly for parents they like it they drink on a regular basis on the advice of a doctor The constant fatigue went away physical activity increased my mother stopped complaining about the heart. Another positive aspect is that information is perceived faster and in greater volume.,5
By head hurts when it's cold but taking vitamin B50 relieves my headache...,5
I take it to my mon on an going basis she drinks B vitamin.,5
The small-capacity multi-package is easy to carry and it smells and tastes not too strong,5
The forms of vitamin of course are not very good. And the dosage are large. They can be suitable for filling deficiencies for prevention next time I will take others. I drank every other day they are very stock and stain urine which in principle is normal for bushes in a poisonous color,4
He all often hear the statement that all diseases are from the nerves Well most for sure. And I was convinced of this from my own experience. B vitamin must be constantly replenished. Is a rule they get to us along with food but due to balanced nutrition illness and stress as well as bad habits the use of caffein and refined sugar depleted reserves faster than they do.,5
The product is very good. Not satisfactory results packing is quite beautiful quality.,5
I bought it to increase energy it became easier to work out in the grm .. I'm waiting for it to be available I will order more ,5
His complex suited me. His is not the first time I order. I feel much better more cheerful,5
Line In excellent supplement cramps disappeared adds energy and it is felt from the first week. Less hair loss,5
Apparently more energy very good complex,5
Good complex it is convenient to take,5
Took it for my friends they like it.,5
