review_contents,individual_rating
I drink these vitamin in combination with magnesium. Very pleased with the effect. I became much calmer there are no emotional breakdown. The mind has become clearer. After two and a half weeks of taking the real result. Fool I don’t know what affected the normalization of mood magnesium or taking this complex of B vitamin more but the effect is super. Of you need a review put YES,5
His is not the first time I order them. I really like this brand. The doses are excellent. I take for a child 7 years old drink under capsules. Recommend,5
Favorite brand Luxurious complex The quality is high Without B-B my veto is disturbed and I get acne.,5
In excellent complex of all B vitamin in active form. The dosage is selected optimally there are no reddening reactions.,5
The package contains 60 capsules of a rather large size. It first it was hard to swallow but after a while I got used to it. The capsules smell like Devil dragged. I noticed the effect of the vitamin after a week. Working capacity has increased during the day there is a great mood. It night on the contrary a deep sleep. The stress which in my case manifested itself in the feeling of a phantom exam was gone I felt like a student in a session although there was no reason for this. Memory improved began to memories new information faster. In the recommendation of a doctor I drank one capsule a day after breakfast.,5
The best Mishka for me no side effects.,5
Horn resect sometimes comes out a little expensive. but I'm still happy with the quality ,5
The drug was recommended to this doctor. The composition of it group B is ideal in this drug. The condition of the skin has noticeably improved peeling around the mouth has stopped the energy has increased and the stool has returned to normal,5
Very good firm and all active forms of B groups I love them,5
West Vitamin Firm. Everyone needs B vitamin There is a good quality composition here.,5
Favorite complex of B vitamin With increased dosage by,5
Eating vitamin obesity gives you vitality and energy. Horn Research works best. Please try it. Very good.,5
I ate vitamin b because it was essential. I’m less tired.,5
After taking it I became much calmer now I am constantly discharging it.,5
The began to drink vitamin on the recommendation of a nutritionist-nutritionist. I drink in the morning on an empty stomach. I have not yet understood the effect but I need to take a course on drink And first take the test for homocysteine. It turned out to be increased so I drink a set Met's see if it will lower it if yes you can drink more. To not get sick and take care of yourself.,4
Good composition. Helps in the treatment of skin diseases eczema dermatitis. The psychological state has improved. I take 1 capsule daily with breakfast. Courses. Recommend.,5
The vitamin in this complex are in good forms. Range powder capsules medium in size.,5
Doveryayu atoms proizvoditelyu.Xoroshiy B complex rekomenduyu,5
A quality supplement from a brand I trust,5
I just need vitamin of group B. They work,5
In excellent company only I take from him,5
Easy to swallow helps boost your vitamin B requirements especially for anyone having a deficiency.,5
To not self-meditate drink as directed by a doctor,5
A good complex what I noticed after it the urine is straight yellow who was it,5
In excellent composition I selected it taking into account my diseases but ... my stomach twists from them the can is open I'm afraid to continue drinking. When I drink sooooo much water the pain goes away,5
It is after these B vitamin of this brand of seed and energy like a horse,5
A good working tool for the whole family Recommend,5
I bought it by mistake as  6 but I could drink it without any problem.,3
Good manufacturer. It is a shame that there are no discount on Horse. Supplement with active B vitamin are very important for everyone. They are especially necessary for people whose body is not able to convert inactive vitamin into an active form in the liver due to insufficient liver function poor enzyme function digestive problems or due to age-related changes. Dietary supplement containing these active enzymes have increased bioavailability ensuring the delivery of nutrient to their intended purpose. Take with magnesium in the morning and magnesium in the evening,5
Great brand. All vitamin from this brand are excellent.,5
Gorgeous manufacturer West vitamin B is excellent helped a lot. I advise Effect on the face helps quickly,5
I bought this complex because I want more energy. I am happy with this supplement,5
Previously she took isolated forms as prescribed by a doctor - they reduced homocysteine. The result has been achieved now he recommends the B complex in a course twice or three times a year. The quality of life is improving markedly. Blood tests - confirm,5
