review_contents,individual_rating
A child of 3 years old eats with pleasure. The tablet is large enough but easily cracked.,5
I advise Children like it useful and beneficial,5
good shape for children easy to give and dose,5
Nasty and healthy this is what my son says,5
Vitamin in pill form that you can chew. Your taste. I give it to children in the winter for prevention.,5
Vitamin C is good kiss love it Become sick less Recommend,5
Children definitely need to add vitamin C to their diet especially in winter it strengthens the immune system. His one is very good.,5
The dosage is small but it is sufficient to maintain immunity in general. Of you have picked up a virus then the dosage should be increased of course.,4
During a anaemic I give to children for prevention,5
Delicious vitamin I give my daughter 3 years old in the morning 1 piece after breakfast,5
They look like ascorbic acid from childhood. Children ask no need to remind,5
In indispensable supplement in our house. I tried many other things but this one was the most popular with my children. I want to continue buying.,5
The daughter is delighted. The gnaws 2.5. I also tasted delicious,5
Excellent vitamin C we will take more,5
chewing hard children refused to eat,3
I took this brand of vitamin for the first time. The child really likes the taste we take it daily,5
Delicious vitamin c. Not sour kiss love. Economical packing daily intake of vitamin C per tablet,5
I ordered the first time for a child. He likes. The smell and taste of orange is pleasant. I give during ARVI.,5
I recommend vitamin C for kiss ,5
Good Vitamin C my kiss love it also with bioflavonoids per tablet the dosage for kiss is great. Take it for kiss good option and price.,5
Excellent value for money very good dosage. Pleasant to the taste the child eats with pleasure. It helps with the first signs of illness as well as for prophylaxis in the off-season. Of my review is useful put Yes,5
Fool vitamin C I give my daughter 4 years old 1 tablet a day to maintain immunity on an going basis. He took vitamin for the first time we were satisfied with both the taste and the composition I advise.,5
The child really liked the vitamin. They began to use it after cold as they often got sick after going to the kindergarten. He took a bunch of meditations it's time to restore the immune system. The child eats with pleasure and for the mother the main thing is the composition.,5
Vitamin is good small orange tablets are sweet and sour children eat normally,5
I recommend for children my child liked the taste and is happy to ask every day In winter it is very important for the body to get vitamin C there is an excellent dosage and I liked the fact that the composition contains biflavonoids and not a lot of rose hips they serve for better absorption of vitamin C by our body The wars will last for 3 months if taken every day I like this firm Natural factors Vitamin C fights well against cold in the early days,5
Incredibly attractive price  the package lasts for 3 months Contains sodium ascorbate natural supplement and bioflavonoids Delicious - the child eats with pleasure Vitamin C does not accumulate in the body and is quickly excited so it must be taken almost constantly His option on herb in my opinion is the most good in terms of price-quality ratio Of the review was helpful please click yes ,5
I give the child to strengthen the immune system instead of sweets together in vitamin D zinc opera. Bandy is no longer chew but sucking. Delicious the child eats with pleasure and the dosage is good.,5
Delicious vitamin C in hard cheadle tablets suitable for both adults and children cities bioflavonoids are also added to the vitamin this is an extract from the white soft feel that is located under the main feel of all cities fruits it helps for better absorption,5
Vitamin in the form of tablets delicious with orange flavor but sour our child refused to take them because they are sour for him and I would love to. He got out of the situation - we add to tea it is drunk perfectly In winter vitamin C is especially needed to support the body and adults and children so we will take and support the body,5
Excellent vitamin for a child strengthen and give activity we drink constantly,5
The jar is large I thought it would be smaller the tablet is also not small they look like ascorbic acid slightly orange in color they taste normal a 4-year-old child chess them normally.,5
Favorite vitamin C of my children,5
I bought it for my daughter for prophylaxis I give it every evening after the garden it became less sick,5
It tastes good kiss love it,5
Did-friendly delicious cheadle tablets and a good 250mg dosage.,5
excellent vitamin C With bioflavonoids recommended by pediatricians. Children eat with pleasure,5
Good for kiss with time when bottle is open tablets stay sticky.,4
Hard cheadle tablets first sweet then sour when you chew 4-year-old child liked it 1.5-year-old too since well brother eats and he needs it I break off quite a bit chew I also like it although I repeat it sour  but less than pharmaceutical ascorbic acid. The dosage seems to be normal it did not cause galleries.,5
Vitamin necessary for children especially during an epidemic,5
very taste vitamin ... children in great pleasure are waiting for the time of taking these vitamin ... ..the children have noticeably become more active their appetite has appeared .... they began to walk more in the air .... and before taking it there was lethargy not desire to eat ... in studies tasks were also difficult ...,5
Vitamin C with an excellent composition I recommend,5
Delicious and good dose of 250 my,5
The children liked it it was useful and taste and a good dose of vitamin C.,5
Easy to eat and my daughter enjoys,5
His amount is delicious All the chewables had children who were so spice that they couldn't eat. But this is less sour than the others. Lips decision,5
Contains sodium ascorbate natural additions and bioflavonoids Delicious - the child eats with pleasure Vitamin C does not accumulate in the body and is quickly excited so it must be taken almost constantly,5
Excellent for my kiss they liked the large quantity one pill per day and delicious taste,5
I bought it for children I liked it very much I can say that the children were eaten with pleasure I will order more,5
Delicious vitamin C in animal-shaped cheadle tablets. 1 pp 250 my. I give at the first sign of a cold 3 pus during the day.,5
Excellent vitamin C for kiss at an unfordable price. I give children cold in season for prevention and for diseases. Children like the taste.,5
The child eats with pleasure but periodically ate more than 1 piece says that the stomach hurts,5
Vitamin taste good. Easy to chew. I give my daughter 3 years old 1 piece every day for prevention.,5
I bought vitamin for a child of 10 years old. He liked it the child chewed with pleasure. The taste of orange is felt I personally tasted it and really taste. A month has passed but vitamin still remain. The gave it several times a day. The can is really big but I will buy more soon.,5
The child liked it. To galleries,5
Good and taste vitamin C for kiss,5
Delicious vitamin C I take 2 times,5
The smell is amazing the children themselves ask for these vitamin. I give 1 piece a day. He drink on a regular basis from autumn to spring,5
Vitamin C for children. It is very profitable. For 3 months,5
pleasant to the taste kiss love and what is important for me is a large dosage and a large quantity in a package for a reasonable price.,4
Good vitamin. The child eats them with pleasure. With constant use I noticed. that they began to get sick much less often. I definitely recommend it,5
