review_contents,individual_rating
For the result you need to drink for a week the cumulative effect but it is.,4
I like this great complex for stress management. It provides extra vitamin Of Pantothenic acid. Pantothenic acid is essential for healthy adrenal function. Healthy adrenal glands play an important role in effectively managing stress. Horse is good company and this complex provides a quality B vitamin in highly digestive forms. You can take 1 tablet per day in the morning during 1 - 2 months but don't take this complex on an going basis. B vitamin can cause adverse side effects when taken in high doses. For example Niacin can lead to high blood pressure abdominal pain impaired vision and liver damage. Long-term overconsumption of Of can cause severe neurological symptoms skin lesions sensitivity to light nausea and heartburn. Taking too much late or colic acid in supplement form may affect mental function negative impact the immune system and mask a potentially severe vitamin B12 deficiency. Of you liked my review click on like go to my page where you can see my other reviews and use my code to get a discount on purchase.,5
Excellent modern assimilable forms and super dosage. B12 was especially pleased that it was in the form of ethyl. Please note that Horse's tablets all have a short shelf life you should not buy in reserve. To galleries. Of you liked the information click Useful. Thank you,5
The modern fast pace of life sets us its own requirements during the period of intensive work or study our body may need additional support in the form of vitamin B. Vitamin B are needed for the normal transmission of nerve impulses to the heart brain and they are also necessary for the sanctioning of the nervous system. I took 1 capsule after dinner for 2 months. The level of Of and B12 rose in the upper limit of the norm. Became calmer even very much.,5
Must a delightful anti-stress complex of vitamin of group B. It is worth drinking on a course when the nerves are naughty has a very beneficial effect on the state of the nervous system. Of the review was helpful please vote,5
herb as always is on top. I am very satisfied.,5
Reliable brand excellent quality. The doctor recommended to a friend to restore the body after suffering COVID. He was very pleased. Recommend.,5
I tried several complete B as well as separately B but this one is the most powerful and at the same time there is no fear that you will over it since vitamin are in their most excellent forms. Of the review was helpful support it with a thumb up,5
I feel that my metabolism is smooth because I eat B vitamin.,5
I no longer catch a cold.,5
In excellent form of B vitamin,5
I believe this manufacturer I think it helps while I drink a little time.,4
during times of stress it helps a lot,5
Took Not to Myself. I can't say more,5
By favorite B-complex since the vitamin are a methylated form for improved absorption as well as late instead of colic acid which you want to avoid.,4
ordered a friend she is a teacher at school,4
this complex is one of the best,5
I like almost any B complex so this was good but there are many better b-complex formula out there.,4
I already take 4 wars good,5
I did not notice the effect ...,4
Helps. You can't on an empty stomach.,5
I ordered it for a friend at the direction of the attending physician.,4
A wonderful manufacturer of nutrition supplement I also prefer this vitamin B complex .. I used it as prescribed by a specialist .. excellent support during stress and vital loads I drink from time to time ... I'm happy with the quality of the product,5
I think you will get good results by taking it steadily ~~^^,5
I did not check the test result. But I didn't feel any effect on myself. However it is not enough to drink vitamin alone. You need full sleep rest and lack of stress,4
I noticed the difference after applying Recommend,4
Really lowered stress levels. many people are deficient in vitamin B so I recommend,5
By beloved a good form of assimilation a quick rise in energy the only thing that I don't like very much is the urine stains strongly yellow and the smell of vitamin in the toilet,5
His is a good B-complex it contains good doses of vitamin That is large which is not necessary. The reason is that your body will hold the required amount and extreme the excess. You can open the capsule and split. The urine will turn bright yellow. I trust her good firm. Recommend,5
Super complex I took it more than once And I trust this brand All good,5
I tried the standard B complex of vitamin from this manufacturer and I want to say that there really is a difference this complex helps to support the body during stress. His product has an increased dose of Of pantothenic acid at a cost less than Horse's Basic Complex. In addition you can drink vitamin C it also helps the adrenal glands to cope with stress. The course is designed for 2 months 1 capsule 1 time per day. It is best to drink B vitamin in the morning separately from food for example an hour after breakfast. His will make it easier for them to learn. Please Like my review have a nice day,5
Okay~ I feel the difference between the day I ate and the day I didn't so I want to buy it again.,5
I drink the second month the result is obvious. I became calmer sleep improved irritability disappeared. I recommend it especially in the autumn-winter period.,5
Of you work in a distressful environment or are a new mon then try it. I have now very good levels of vitamin B12 and colic acid,5
In excellent complex of B vitamin in the correct enzyme forms from a reputable manufacturer.,5
I drank for the prevention of deficiency I bought it during pregnancy it helps a lot to avoid severe toxicosis. Therefore I almost did not have toxicosis.,5
Like Effect The effect is really strong. It stabilizes the condition after a week of taking it. Its worthy drug for those who have loose nerves,5
I bought this because I thought it was better to take B vitamin.,5
His is a supplement that is indispensable every day in the b complex.,5
I am re-ordering it 3 times already. It contains the most active forms of B vitamin. Therefore it is the most effective. Of it's helpful please like it ,5
In excellent complex of B vitamin in enzyme forms. Took 1 capsule a day for a month. Anxiety went away skin condition improved and muscles began to hurt less. His is not our neuromultivitis. Were everything is really digested and beneficial.,5
Good vitamin I take it to drink with vitamin D. The dosage is good there is no allergic reaction. recommend,5
Luxurious complex For many years I have been suffering from migraines and clamps in the cervical spine. That a surprise it was when while taking this complex migraines and clamps stopped bothering me. However the problem returned a week after the discontinuation of this complex.,5
Husband accepts. The general impression is good the recovery of the body after stress is slow but steady.,4
Good vitamin helped fill deficiencies. Appointed by a specialist due to thyreoid problems. I have already drunk three courses. There is a positive trend.,5
I trust this manufacturer. A complex of B vitamin helps to cope with stress improves memory.,5
I took it myself. Good for stress relief,5
It's very nice. I've been feeling well since I started taking this and my skin feels good. I am happy and will repeat,5
Why is it so good is it B-complex first of all the fact that all vitamin are in the correct most assimilable forms.,5
I take 1 drop. 2 r a day after meals.,5
In excellent complex of B vitamin Enzyme forms of vitamin increase efficiency.,5
Vitamin B is a must. Myoma.  Energy metabolism definitely improves And the price is good and you must eat vitamin b. But if you eat at night you have to wake up in the middle so I think it's better to eat it in the morning,5
He spent on drink happy with the result,5
To far the best B vitamin complex found here. There seems to be the whole group Horn is a very good brand they always have great lines. One problem is almost always sold out.,5
really liked it. I feel good chronic fatigue is gone,5
I have been drinking for almost a month as prescribed by a doctor fatigue has passed and distressful situations have become calmer.,5
Stomatitis was so severe that I often had multiple large ones at the same time. I think this is because the absorption rate is good but when I drank it three times a day it stopped coming out at all. Even if a small aphthous ulcer is created it will disappear without growing. Thanks to that my eating habits are fulfilling.,5
His drug helps to cope with stress and is very good at lowering homocestine. Recommend,5
I feel the result when I drink it especially with magnesium,5
There seems to be a difference between eating and not eating. Of you don't eat you get tired easily.,5
Throne is honestly one of the best bands out there with the best mix of ingredient that are lumen and dairy free which suit our dies. I wish they were on discount.,5
of all B complete this one is the best. since the form of vitamin and the dosage are decent.,5
Excellent used complex. The effect is immediate.,5
Of you drink it before going to bed you will wake up the next morning very well I researches various things that it was good for my illness and bought this one but it wasn't easy to get into the habit. It's getting cold and it's hard to fall asleep and I'm feeling tired because I can't feel refreshed in the morning so when I drank it for the first time in a while I woke up with the first alarm the next morning and was in good physical condition It was so good that I asked my family to try it but it didn't work for my family. I think it goes well with me but I always drink it on tired days because it suits me. It's a vitamin so the next morning it turns yellow ...,5
According to analyze the deficiency of vitamin of group B I took this complex on the recommendation I like this product Urine only from it of a nuclear color I take one capsule an hour after breakfast,5
I love the best vitamin B complex,5
A great B complex supplement - great for energy  nervous system support during times of stress. Good forms of b vitamin - for body to absorb  utilise. Recommended.,5
His complex suited me I became a little calmer I will take more,5
He ordered the complex on the advice of a doctor. He drank the whole jar but did not notice a clear result. I won't say that the child has become calmer. But maybe to some extent they did him good.,4
By husband has a hard job I bought it to endure stress more easily it seems to help,5
In the recommendation of the doctor I took it during a period of depression in combination with therapy - it worked perfectly,5
The most favorite complex of vitamin of group B. However doses are small.,5
I buy this complex for my husband to deal with stress. The effect seems to be there.,5
a great morning routine vitamin makes your see bright yellow like all B vitamin dont worry about that,5
Had a great experience with this product Mind price but would recommend it.,5
It Group B in a huge dosage. They are suitable if your nervous system is already at its limit and you have not used large doses of B-ski in the recent past. Horn supplement are definitely working I have already bought 2 such wars.,5
Good composition. Effective has an optical balance of vitamin.,5
Thank you so much. At delicious and be healthy.,5
The price is space but I didn't see the now effect either unfortunately,4
Of B vitamin then only Horn effective for nervous tension,5
In excellent complex of vitamin of group B. I drink at lunch without other additions. I noticed that the efficiency increased during the day I was in a great mood. I began to sleep better. Memory improved began to memories new information faster. Rank for three months.,5
The complex of vitamin of group B was ordered from this company because she has excellent quality raw materials.,5
I bought it again as a really good product and have been eating it for more than a year~~~ Highly recommended,5
I bought it on the advice of a doctor. Sleep will improve. I can’t say more yet what other results I see.,5
Good vitamin in good dosage. I drink for two weeks. 1 capsule per day. my back hurt they offered to pierce vitamin B in injections. And just these vitamin came to me. I drank them instead of injections. The back is gone. In general I have not noticed yet. I think you need to drink for at least a month to see the results. The stomach does not hurt - I drink after meals and with plenty of water. The urine turns bright yellow but this is often when taking vitamin of this group. In general I am satisfied with vitamin. Some to my page and please put YES  ,5
These vitamin must be taken constantly especially now when the issues of immunity are very acute. The manufacturer is very good I bought it on the recommendation of a doctor.,5
In excellent complex for stress and everyone has it in a metropolis after quarante all residents of Russia appeared for sure all the more so according to the analysis they have very good forms in addition to distressful components it solved many points including neurological ones they reduce the frequency of pain in the neck  pig acts prophylactically,5
A very good complex of vitamin of group B. I drink it in courses 2 times a year. It has a beneficial effect on the state of the nervous system. A complex with perfectly pebbles forms of B vitamin which made the choice for this option. I bought it on the recommendation of a nutritionist. Works great. Recommend,5
I took as many as two can on the recommendation of a doctor.,5
I have adrenal fatigue so I was looking for something with a large amount of B vitamin. I feel that it works so I repeat it several times.,4
The effect is noticeable. The husband began to fall asleep better and is less nervous about trifles. I will buy more.,5
Okay I'm using it second. The smell is a little disgusting,4
I feel that I can sleep better if I drink it when I have a lot of stress.,4
A wonderful complex I and my whole family use it,5
good combination of vitamin. Effective. Helps to reduce stress level. Also good for skin and hair,5
All my friends accept this complex. Super working. I advise.,5
Perfectly balanced vitamin complex. Personally it helps me a lot to cope with the rush at work. Really allows the brain to be more concentrated and the nervous system resident and captive to stress. It is easier for the student's son to pass the examination period. To-administration with magnesium significantly improves sleep quality. In general THORNE products are of high quality and efficiency this brand is always in my basket or on the shelf. Is. yes do not be alarmed the specific smell from vitamin and intensely colored urine for Meshes it is the norm.,5
One of the best B vitamin. Highly recommend,5
I love this form very much it normalized the condition,5
Excellent vitamin I have a vitamin B12 deficiency so in addition to the complex I take it separately,5
For the nervous system during overcoat,5
I take one tablet daily as a measure against hypoglycemia. I think it will be effective.,5
A very good complex with a rich store of vitamin B group. There was low Of colic acid and B12. For 2 months the indicator were at the upper limit of the reference values. His complex is B-stress. which has a positive effect on the nervous system as a whole. I took 1 capsule after dinner for 2 months with KAL Murat Magnesium.,5
I took for myself all active forms. I take 1 capsule 3 times a day for a course of 3 months,5
You can't do without B vitamin. One of the best complete. I take courses for 2 months then 2 months - a break.,5
I'm not sure about the effect.,3
It seems to have become calmer but of course not a fact,5
Helps with manifestations of neuropathic. It really got better.,5
Great supplement yes dear but really working,5
I can buy all their products,5
