review_contents,individual_rating
His is not the first time I buy. Excellent multi-complex,5
In excellent vitamin complex for children. in addition to vitamin they also contain minerals. He took the course in the fall when the child went to kindergarten during the autumn and winter the child never got sick let's see what happens next although we are only 3 years old and this is a period of adaptation to kindergarten when children are very often sick. The vitamin are delicious in the form of animals and most importantly the natural composition The firm is very good I trust her.,5
Good vitamin. Children eat for a sweet soul. 9 and 11 years old in combination with In of the same company and Of in the form of separate sublingual tablets. good prevention of ARVs is obtained from September to May - the whole school year.,5
Fool vitamin The child loves to chew them and began to ask for sweets less. The composition is great I recommend it.,5
Excellent vitamin that strengthen children's immunity during the cold season. A very big plus of them is that it contains the full daily intake of essential vitamin that a child needs. And also the composition contains a number of trace elements such as iron iodine magnesium zinc etc. in the correct and easily assimilated form. Additionally - fruit extracts which are also necessary for proper digestion and the formation of immunity. The daily dose is 2 pus  day. Vitamin are calculated for 3 months of admission. These vitamin are marked as natural and vegetarian. Additionally enriched with extracts of fruits plants and ferries. Lumen free. These vitamin have a fruit taste a rather pronounced sources which not everyone will like but my son eats with pleasure even sometimes reminds me when I forget to give them to him. Recommend I hope the review was helpful to you,5
A very good thing. I love both me and children and have to order constantly. Working preparation I'm sure you'll like it Of my review was helpful press YES. It's not difficult for you but I'm pleased ,4
The composition is the best. Everything is included that a child needs. I buy opera separately and that's it.,5
He use these vitamin alternately with Animal Parade Old. I like both. Forms are good easily digestive. The child likes the taste. Animals of different colors and tastes. Enough for a long time. It the age of 5 we drink two tablets,5
The most popular vitamin for children,5
Normal vitamin ordered a friend. But I am more for children's portions of ordinary vitamin for adults because children's portions have a lot of unnecessary additions such as sugar favoring and they are more expensive although in fact the composition is the same.,4
I bought it for a child of 3 years old. By daughter ate with pleasure but after the vitamin went salt in the urine. In general there are a lot of vitamin and minerals in one tablet. I recommend giving your child only essential vitamin and minerals and only after analysis.,3
the child likes the taste of these vitamin,4
Children drink with pleasure. Good composition,5
The child eats happily. Large package which pleases as it will last for a long time.,5
Great vitamin for kiss. Good composition. I took it for my grandson eats with pleasure. The taste is sweet and sour very pleasant not chemical. There is no clergy to these vitamin.,5
I liked the vitamin both in composition and in action. During the period while taking vitamin stopped hurting we go to school regularly do not miss. The jar contains 3 tastes according to the child pink - cherry like most then two tastes of sour grapefruit and orange. You need to take 2 vitamin at a time the child combined two tastes sweet and sour and this is how a balance is obtained His is our life hack,5
By son loves them. I will order more,5
The coolest vitamin for children. He tried all the favors most of all the kiss like watermelon. Forms of vitamin and minerals are easily digestive therefore I highly recommend for constant intake especially for those children who have a meager diet. Please note these are not bellies but hard candles. But my son has been chewing them instead of sweets for a year without any problems. Of my review was useful to you I will be grateful if you click YES,5
Good vegetarian vitamin for children for those children who are vegetarian - this is a great option Animal Parade has taken into account the features for different categories of kiss.,5
I give children 6 years and 3 years. They eat well. The taste is not bad I also really like the composition. The youngest has a good appetite after taking these vitamin,5
The child is quite pick does not eat all the vitamin but he loves these never refuses.,5
Children like it very much but I like the composition. I will order more . Last delivery to Ukraine,5
Children adore and the composition is very good there are few vitamin in it as well,5
The child liked the taste. They also took other firms they liked Collar and Workman but they didn't.,5
Hello the child really liked the vitamin. Good composition. He will take more,5
Very taste product my daughter is delighted.,5
Piece 6 years old takes only these multivitamins namely asserted tried one taste did not go. But the asserted and the whole too in chewing sweets suits her very much. I really didn't get sick even once last winter,5
A large number of reviews have long aroused interest in this series of vitamin for children. He usually drink other bands of vitamin. But then it was the turn of these. I studied the composition and liked it. Were you have almost everything and the form is partly natural and not completely synthesis. A huge can of dark plastic. By children eat very well and in a balanced way. I give them 1 ton in the morning during breakfast. I give half of the recommended dosage because I am wary of all supplement and focus on the condition of children. After a month of taking the children are cheerful cheerful and do not get sick. Shelf life with a large margin which is good since there are 180 pieces in the bank. And another such moment it so happened that my vitamin ran out and I took these. I like my condition after them I have enough strength my hair grows great. Were is their taste as it were for an amateur sweet and sour harsh. They need to be gazed in the mouth they rumble into small particles quite quickly. But this is not important since we do not buy sweets for the sake of pleasure. Good health to everyone,5
super composition delicious vitamin for every day children eat with pleasure,5
A very good vitamin complex for children. Vice taste and smell,5
It was not sweet and it tasted good sweet and sour,4
Ftp brand is very good children like the taste,5
In excellent complex for children good dosage and composition. Tastes good.,5
Large packing reasonable price. Delicious vitamin kiss love them very much. The packing is enough for 3 months. He accept 2 pus per day.,5
Children ate them with pleasure they are not cheadle they must be chewed. But mine even liked it.,5
He have been taking these vitamin for a year now the child really likes it. And as a result we don't get sick we got off a couple of times with just a slight funny nose during the cold season although before that we were sick two or three times a year. Super recommend,5
