review_contents,individual_rating
Acquired vitamin on the recommendation of a friend. The has been using them for several years. And really did not regret it. The vitamin are great. Well-being immediately improves. In the morning I feel more cheerful. Therefore I highly recommend it. Of my comment turned out to be useful please click,5
Good for depression I think is good for me,5
Excellent for rousing and treating post-corona symptoms,5
and my hair lost is getting better. i really recommend it also made my hair grow faster. i would appreciate if you liked my comment if helpful to you.,5
I drink a complex of B vitamin when the corners of my lips crack and even seizures may appear. His means a lack of B vitamin and the result is visible immediately. Click the button below if my review was helpful to you,5
normalization of the nervous and cardiovascular system; nerves are in order sound sleep excellent immunity; improve bowel function skin condition; support emotional health help to cope with stress depression increased emotional stress; participate in cell growth energy metabolism muscle work; strengthen the immune system and increase the body's resistance to various diseases.,5
Stress lasting 20 minutes can destroy the body's daily supply of vitamin C. But this biological active substance is our main defender ascorbic acid has a stimulating effect on the immune system stimulated the synthesis of interfere has antiplatelet and pronounced antioxidant properties and increases the body's resistance to infections. In addition vitamin C regulates the adrenal glands which produce the stress mormons adrenalin and cortical. B vitamin are 8 vitamin that perform essential tasks in the human body. These substances are necessary for the normal sanctioning of the nervous system metabolism and for the synthesis of a number of compounds. In addition B vitamin improve the activity of the cardiovascular system as well as promote good absorption of nutrient from food. Vitamin B stores are also quickly depleted under stress and the precise performance of the above functions becomes no longer possible. B vitamin are water-double vitamin that do not accumulate in the body and therefore must be taken with food every day. Since B vitamin are often in a complex in food the signs of a lack of vitamin as a rule are observed at the same time - fatigue weakness memory impairment discomfort in the heart tingling fading. if it was useful and interesting for you please like it as a sign of gratitude. It's not difficult for you but I'm pleased,5
A good product it does its job. Recommend,5
Helps to normalize the sanctioning of the nervous and cardiovascular systems improve bowel function and skin condition. And the price is reasonable. I will definitely order more Of it was helpful put ,5
It is a necessary item for corona countermeasures at this time.,5
I take this drug in combination with It B12 from the same company. It's great that they come with a complex with vitamin C we always don't get it and it is a very important antioxidant and an immunity assistant. By neurologist recommend taking B vitamin for almost 3 months every six months. It was these that I took for the first time and I really like them - small in size and smooth easy to swallow easy to digest - galleries were not caused like vitamin from another company according to analyze the level of B vitamin is at a good level after you start taking these And the price-quality ratio is at its best I even like these wars I am pleasantly surprised.,5
I ordered this vitamin complex together with girls-colleagues on the advice of a friend. I take it in the morning after breakfast. Does not cause any negative reactions. Met's hope for a positive effect because B vitamin are essential.,5
By husband and I took it for a test. Good composition and price,5
I have been drinking it for more than a month. I feel a surge of energy my skin and hair have improved. It had a good effect on the nervous system. I will continue to drink. I advise everyone.,5
In excellent complex the condition of the skin and hair general well-being has significantly improved.,5
Good product and great price Vitamin of group B were prescribed by the dentist after the operation and the choice fell on these. Quite a decent product,4
absolutely love this product I highly recommend,5
a very good complex of these two components of vitamin B plus C. In this combination it is perfectly absorbed like it if the review is useful to you,4
I took it in combination with other additions. I liked the pleasant taste capsules are easy to swallow. The overall effect after a week of admission is difficult to track. ,5
good complex helped to replenished vitamin B reserves,5
Budget vitamin B complex bought for my brother in the complex treatment of the crown.,4
In excellent complex for maintaining general immunity. Also with vitamin C,4
Effective working complex. I drink in courses it helps out not for the first time Recommend,5
Vice complex at a reasonable price,4
In the recommendation of the doctor is excellent,5
I have been taking vitamin of this group for a long time and so I decided to order on herb I can't say anything bad about all the forms good vitamin the main thing is not to forget to apply,5
The vitamin is great. He drink with my husband. Capsules are very convenient to swallow due to a special shell. I advise. Vice price,5
I am satisfied with the complex. He careful as after taking the pill the color of urine changes to a rich yellow. I drink it with a large glass of water because these vitamin are all water double.,5
It is better to consult a doctor before use.,4
In a week my wife began to lose much less hair,5
I drink this vitamin all the time. like. the only thing that is painted is urine. do not be alarmed.,5
sister after the reception became noticeably calmer,5
I liked it very much. Less hair loss nails less brittle I'm happy,5
By husband was prescribed a complex of B vitamin and the choice fell on these vitamin Good price for this composition. Met's see the result,4
I bought it because I don't eat much of the products containing the complex. vitamin are good give a surge of vivacity and energy Highly recommend although expensive but productive To not be lazy to like it and thank you in advance,5
Despite the rather large size of the tablet it is easy to drink. After 2 weeks of use I feel changes - it became less irritating pains in the cervicothoracic spine became less pronounced.,5
It's cheap but I don't want to buy it. The ingredient content is ambiguous.,3
Used complex at a great price,5
B vitamin with ascorbic acid. Forms of vitamin are not the best for absorption. But the price is not expensive either.,4
Were are B vitamin plus vitamin C ... double benefits. True vitamin are not in the most digestive form but the price here is also small. To side effects were caused.,5
He drink with the whole family. together with magnesium it has a positive effect on the nervous system improves mood removed anxiety. I recommend it for use. A very useful and effective means of strengthening the nervous system,5
good vitamin after taking a charge of vivacity for the whole day.,5
I bought it for my mon we will take 1 for lunch the doctor advised,5
Vice complex the price is very attractive in general the brand is very budget,5
Not a bad complex but weak in composition,3
I really liked it and met my needs.,5
I received vitamin not long ago so far I can not say anything. I will add a review later.,5
A good complex of vitamin In the morning to wake up and inviolate I take B vitamin - they also protect brain cells from stress. It works and I like it.,5
In excellent complex for maintaining general immunity. Also with vitamin C. He noticed that urine strongly stains it becomes a bright yellow-green hue. I don’t know whether it’s bad or not but we do not stop drinking ourselves.,5
It normalized the sanctioning of the nervous and cardiovascular systems improves skin condition strengthens the immune system and increases the body's resistance to various diseases.,5
A good product convenient composition and the amount of product in one box,5
I took it for the first time very much,5
A wonderful composition Must one tablet a day,5
I'm topic so I have to take vitamin but my diet isn't enough so I use this. I don't know the effect yet so I will continue to take it.,4
His is the only B12-free complex that I have found. I have an excess of this vitamin in my blood so all other B vitamin complete are not suitable. I take it for a month my skin hair have improved my joints crutch less. Does not cause galleries. Confused the titanic in the composition but I hope it will not accumulate in the body during the intake.,5
It is necessary that the whole complex at once,5
His complex is good because it contains vitamin C and the price is pleasant compared to other products.,5
The doctor said that it is necessary to work in the complex twice a year.,5
A good complex with many vitamin. in the process of use the color of urine changes to bright yellow orange. no deterioration is observed.,4
Saints the urine in a bright yellow color and a specific smell,4
B vitamin are essential for our body. I took it specifically for a diabetic brother who had problems with the musculoskeletal system. The doctor prescribed. Did not believe. There are improvements. The composition includes vitamin C and this is what you need to strengthen the immune system,5
I liked this complex very much it became calmer and more balanced. Recommend.,5
Convenient tablet form does not get stuck in the throat good composition,5
Of Of Of They help convert food into energy and also maintain a healthy nervous system.,5
I was taking a vitamin B supplement from NOW but I switched because it was damp and lump and the smell was quite strong. It doesn't smell very strong but it has a slightly bitter aftertaste like after drinking Campo.,4
I took a complex of these vitamin for hair the effect of hair growth is noticeable in the second month of taking,5
A good vitamin B complex Optical composition easy to take small capsules,5
I like the price and the vitamin themselves,5
I bought the complex since the muscles are in good shape and there is a pitching of the nerves.,5
The composition is super I often order other drugs from this manufacturer since they have a very unfordable price. I buy for the whole family therefore it is essential.,5
Vice complex. The client was pleased. Personally I haven't tried it. They responded well. The order was re-ordered,4
Not bad for the money but weak. Another time I will order myself more expensive and more working. But the price and quality are on par,4
I took it for the first time drank the course having passed the tests I saw how my health was restored  помог помог Of the review was useful put yes thanks,4
I've been continuously taking this vitamin for 6 months already and I always introduce this products to my family and friends this product helps me give a healthy appetite ,5
There were leg cramps at night but after the start of taking vitamin the cramps disappeared. The tablets are oval not large easy to drink without a strong odor.,5
an excellent combination of essential vitamin,5
Solved the problem with nails and hair,5
I bought it because it's cheap and contains vitamin B as a whole.,5
Great complex for the price. Good for hair skin nails.,5
I drink the course and am very happy. The mood improves,5
The number of supplement is increasing and it is often painful to drink. It is very good that this is one tablet. Moreover the grains are small  From the day after I drank I immediately woke up refreshed. I can't always get up sly,5
I had time looking for a good complex b I love this  You feel an almost immediate effect I love taking it for migrate and PMS,5
Good vitamin good complex thank you.,5
I liked. I take one tablet with bitten in the evening I drank the whole jar there are no side effects I have it anyway. Ordered a second time,5
The price is unfordable and can boost your spirits and those in need can buy and eat,5
After suffering a traumatic brain injury I regularly drink a course of vitamin of group B. A good dosage for a low price much more profitable than buying from a pharmacy.,5
Good composition not such horse dosage as in others  there is vitamin C. I recommend,5
I started taking the supplement. Hope this will indeed help dropout,4
The doctor prescribed for admission together with Of and magnesium. I will write off the result later. Delivery in 2 weeks despite the New Dear's blockades everything came ok,5
Good vitamin no side effects. Rank as prescribed by a doctor.,5
In excellent complex I drink in the evening I add iron because it is perfectly absorbed with vitamin C.,5
the complex is excellent for the winter period in the prevention of cold,5
Excellent vitamin B complex. By grandmother was helped,5
To wonderful I notice it in my skin and my hair,5
A good complex for nerves and for immunity,5
I liked the complex. There is a good concentration of B vitamin plus there is vitamin C. There is a good effect on well-being as well as on the skin and hair.,5
It improves metabolism and enhanced the absorption of iron and magnesium,5
A friend drank this complex said that the energy increased and the nerves calmed down I will try ..,5
It is impossible to overestimated the role of vitamin of this group on the sanctioning of the human central nervous system. Sufficient intake of them in the body is a serious prevention of such manifestations as high fatigue decreased performance frequent mood swing insomnia decreased mental activity and memory distraction. Vitamin Of thiamine has antidepressant properties reduces anxiety. With the participation of this vitamin the neurotransmitter acetylcholine is produced which helps to improve memory. Vitamin Of riboflavin has a beneficial effect on sleep gives tone and energy. Vitamin Of nicotinic acid normalized blood circulation in the vessels of the brain stimulating its work and improving attention. Vitamin Of pantothenic acid affects the level of neutral connections. Vitamin Of pyridoxine is indispensable for the sanctioning of the brain since it participates in the process of assimilating among acids necessary for the sanctioning of the brain. Its deficiency seriously affects the development of intelligence and memory. Vitamin Of colic acid is involved in the processes of expiration and inhibition of the nervous system in the production of serotonin and norepinephrine. Together on the one hand they help to calm down and ensure healthy sleep on the other hand to activate the brain when necessary. Vitamin is important for maintaining long-term and short-term memory normal speed of thinking. Vitamin B12 cyanocobolamin improves the cognitive function of the brain regulates its daily activity. In addition vitamin of this group are involve - in the metallic processes of the body transformation of substances obtained from food into energy; - in the most important processes of hematopoiesis. The role of B vitamin is indispensable in maintaining the health of the cardiovascular reproductive respiratory digestive systems as well as mucous membranes and skin.,5
A very low-cost vitamin B complex. Forms are inactive. Titanium dioxide is also present in the composition ..,3
Unfordable vitamin supplement brand. B-complex for daily with C for a plus. But it.,5
Well helped with fatigue and lack of energy. After a couple of weeks the effect is felt and lasts a long time.,5
Large dosage of B vitamin and a bonus of vitamin C and calcium. One can is enough for a course for two.,5
During the period of cold and sinuses it is necessary,5
I really felt this tablet. Namely when cycling uphill. That really gives power. Always take with food otherwise it will cause stomach pain and my skin will turn red blood circulation. --- The tablets are orange in color and the size is like large capsules. For a 10 year old child we have halted this tablet. You can tell that you are becoming more alive.,5
Good and very expensive product hoped with its task,5
Great complex. The mood improved more energy appeared.,4
good vitamin For the whole body as a whole they take care of the nerves,5
The composition is very good the reception is convenient - only 1 tablet a day. I take courses twice a year. Helps to fight back pain. During the admission no allergic reactions and side effects were observed. His dietary supplement was well tolerated; after taking it there was no discomfort in the digestive tract. Therefore I can safely recommend this complex for purchase.,4
It's a good simple complex. I prefer vitamin in active forms but it works too. You should take it add magnesium vitamin Of iodine and iron and you will be feeling yourself better,4
Is soon as you start taking these vitamin then immediately notice a change in the color of urine because vitamin C is here in a fairly large dosage and it is excited in the urine. I really liked the package. There was a protective membrane under the lid you can not even remove it but lift one part. But please note that there is no protection from children so keep vitamin out of the reach of children. The lid is very comfortable works great. Perhaps I will even leave the packing for storing some little things. I recommend for purchase as one of the most budgetary option for a complex of vitamin of group B and C,5
Excellent product advantageous in terms of price  quality ratio,4
Budgetary supplement of B vitamin  vitamin C good for prophylaxis and medicinal purposes,5
While we drink them for the first time hair in a couple of weeks began to fall out less,5
A very worthy complex of B vitamin calcium and vitamin C. In the complex they complement each other.,4
Stomatitis is less likely to occur It's good for your skin and you don't feel dry even in winter. It's reasonable but amazing,5
Vitamin B is difficult to take in daily life but it is important so I am happy to take it easily. It's a great deal because you can also take vitamin C together.,4
Vice budget complex. Definitely better than what they sell in our pharmacies. I'll take some more.,4
Vice complex. He use it throughout the year with the whole family even with colleagues together,5
I took exactly one month to prevent fatigue increase efficiency I can safely say that they helped It is also a good antidepressant improved sleep mood added energy. In addition it is also the prevention of ARVI. The price pleases. Enough for a few courses. Of the minutes too high a dosage of some vitamin in the last days of taking them they caused nausea and even vomiting. I took it after breakfast. One capsule at a time. I think that a 3-week intake would be enough.,4
It smells strong try to drink water directly,5
In important complex indispensable vitamin B in our body from food is difficult to get even a prophylactic dose,5
Good budget option The only thing is that when choosing this complex you need to remember that the forms in the composition are the simplest with problems with the gastrointestinal tract they may simply not be assimilated.,5
Didn't notice the result. I took it on trial. Perhaps better than not drinking vitamin at all. But I shoot 1 star.,4
Is a result of searching for a vitamin B complex product this product has the best cost performance. I recommend this product if you are looking for a good value for money.,4
A good complex of B vitamin. To negative sensations were noticed during the reception. He continue to drink.,4
When you have limited the consumption of meat products you need to take care of a sufficient amount of B vitamin there is plus and vitamin C which is also nice. In general I love this manufacturer always unfordable prices thanks,5
A good complex and even with vitamin C. The price is relatively low,5
perfect product be recommended to my friend,5
A very nice complex. The body needs to be helped and given additional vitamin. By general condition has improved a lot of energy has appeared and I am simply in love with these vitamin.,5
Tablets are easy to swallow. Will order again,5
A good full-pledged b-complex for women containing vitamin C what you need now in the winter of illness and stress,5
I ordered it for my aunt now I want to order for myself the price is very attractive compared to other companies I hope the quality is good. But I tried It D of this company I liked it,5
The vitamin of the court are not bad in composition and reviews. The price is good. The brand is already prove. He will drink.,5
Contains a lot of vitamin and the price is small,5
I took it to my mon so I can't give 5 stars There are no bad reviews from her words no side effects either. The price is great,4
Ordered for a young man. He likes.,5
It's cheaper than domestic ones so it's easy to continue,4
A good complex of B vitamin for a reasonable price. I took it to my mon. after a course of taking pills pain in the back and legs decreased. it helped her a lot there was an injury and for almost a month she lay unable to get up. The remedy worked both as a pain relieved and as a muscle relevant relieving spastic syndrome. After it she is able to move independently and can be on her feet for a long time.,4
It contains B C and calcium in a reasonable amount so it's easy and good.,4
Excellent vitamin at a nice price,5
All B vitamin are very useful,5
also make my hair grow faster,5
Normal complex I did not notice anything special,3
Good vitamin this is not the first time I buy,5
Perfectly invigorates and adds energy and youth. Recommend,5
Good vitamin for hair and skin,5
A good complex of vitamin good dosage. It is convenient that it is not tedious to drink each vitamin separately,5
B vitamin are a group of water-double vitamin that our body does not synthesis and that we must get from food every day since our body uses them during the day and does not store them except for B12. These vitamin are second only to magnesium in importance for the nervous system. of YOU HAVE 1. Anaemia 2. Fatigue and weakness 3. Depression and anxiety 4. Memory impairment and cognitive disorders 5. Cry skin acne dermatitis brittle nails hair loss 6. Early gray hair haired with a lack of iron and copper  7. Door dental health bleeding gums and mouth ulcers 8. Shortness of breath 9. Cracked lips seizures Of deficiency 10. High sensitivity to sunlight 11. Swelling of the tongue may be due to thyreoid disease 12. Problems with digestion nausea cramps you just need to replenished stocks of this important vitamin for the body. And finally on a note. When using complete of B vitamin urine turns yellow you should not worry and go to a psychologist about this  - this is the norm. I highly recommend the complex of this company. Excellent value for money.,5
