review_contents,individual_rating
I think this drug is one of the best which contains vitamin C in an effective formula that is absorbed evenly throughout the day and without stress on the kidneys and harmful effects on the gastric mucous. I recommend that you pay attention to this effective preparation containing vitamin C in the effective formula of Esther C. Considering that the number of tablets in a package is 120 this application is beneficial and one package lasts for a very long time. After regular use Vitamin C Nature's County After-C 24 hour immune support noticeably strengthens the gums bleeding disappears during brushing even with a hard toothbrush. Also capillary network on the skin gradually disappear since in addition to vitamin C in a therapeutic dose this preparation contains cities bioflavonoids rich in natural ruin which has a beneficial effect on blood vessels and capillaries.,5
Spoiled for opponents longridov Everyone since childhood knows why we need vitamin C. It least to maintain immunity. With a cold drink 3000mg.  In.  His is Vitamin After Formula - organic multi-component. It is absorbed by the body gradually and better than synthesis vitamin C which is very quickly excited in the urine. But still it is better to take it rationally so 1 tax. divide by 4-6 doses per day max. 3-4 hours is preserved in the blood. The capsules are soft they are easy to bite off not bitter - almost tactless. Vitamin water-double drink a large amount of water.  Either scientists nor doctors can determine the dose of vitamin C. The doctor endocrinologist for whom I have been observing recommends a minimum of 1000 my  day. Of you have a lot of stress then drink 2000mg 2 tax.  May. 1000mg will only go to the formation of cortical which is produced under stress. And it is necessary that remains still on - Help immunity; - ensuring the strength of bones; - assistance in the take of glucose by cells so as not to eat sweets in kilograms; - maintenance of college fibres; - transport of oxygen through the body; - the formation of thyreoid mormons; - the formation of serotonin - the harmony of joy;  Today the content of vitamin C in the products we buy in stores has decreased. The daily dose of the vitamin is contained in ~ 4 g of oranges or ~ 16 g. lemons. That is you just need to enter in the diet of vitamin C in the form of dietary supplement. Especially if you notice that your gums are bleeding or varicose veins. Or you are often drawn to the sweet. Vitamin C also helps to lose weight because it stimulated the production of an enzyme that horseradish you utter but it controls the deposition of fat cells.  In general an infinitely useful and important vitamin for our body. The list of its usefulness is endless. Since independently it is not synthesized in our body it can be drunk without interruption. The body will take the necessary and the excess will lead.  Ascorbic acid and organic vitamin C are different things and the dosage is different.  Useful facts - Ascorbic acid is a monoproduct synthesis laboratory. - Organic vitamin C will be called After-si L-ascorbate L-ascorbic acid dehydroascorbate. - Often our desire to eat or eat sweets is the body's desire to replenished the vitamin C content in the blood. - Serotonin is synthesized in melanin - a sleep harmony. That is vitamin C is also a remedy for insomnia. - It has anticarcinogenic antiviral and antimicrobial effects.,5
Before buying this After-C read the supplement facts indicated on the product.,5
HOW NOT of of SICK. I am sharing the experience that my family and I have been using for 7 years. It the first sign of a cold it doesn't matter ARVI or fly we immediately drink 3 g of vitamin C of course less for children that is three tablets and drink plenty of water after an hour you can repeat -3 g plus water. When every hour 2 g  until the symptoms disappear a total of about 10 g per day or less comes out. To not be afraid of overcome this is not ascorbic acid and does not have its toxicity. They hoped this way even with the fly by the way the temperature goes away from vitamin C perfectly in a day it is important not to forget about water and start drinking at the very first symptoms. In an empty stomach it is much more effective than after eating. In general if you drink vitamin C 1500 my per day rationally then the likelihood of catching a cold is very small. The tablets are large enough there may be problems for those who have difficulty swallowing but it is quite easy to gnaws the taste is slightly sour. Of my review was useful to you I will be grateful for the like.,5
It is easy to swallow albeit large at first glance. 1 pp daily intake and even bioflavonoids in the composition. Harm,5
He has been taking it for a long time at intervals.  is less sick during the season of vital diseases. Others have tried but still stopped there.,5
Effective formula well absorbed does not irritate the stomach. I take half a pill at breakfast and the other half at lunch. Perfectly strengthens the immune system and gives energy,5
I think the 24-hour type is very good. I think the fact that it is sold out and cannot be bought is proof of its popularity but it is a pity that we have to rely on other manufacturers.,4
Vitamin C for people with high stomach aridity. Helps to strengthen the immune system and improve skin condition. The slow-release formula allows the body to fight external aggressive factors around the clock.,5
During the anaemic the whole family began to drink. They were ill very easily and almost asymptomatic I think this vitamin and vitamin D which they drank in combination helped,5
Finally this vitamin C appeared. Good form and dose for an adult. I drink vitamin C all the time.,5
Very good vitamin c. I bought it on the recommendation of an endocrinologist Magheri. But here is the dosage which must be divided by two. And swallowing a sharp pill is unpleasant. Of this is not a problem then I recommend,5
After-C - His contains naturally occurring metabolites. Metabolites are substances derived from other compounds such as nutrient during metabolism. The metabolites in After-C help better retain vitamin C in white blood cells which are a vital component of the immune system. To when you take your daily dose of After-C it goes into your white blood cells and stays there for at least 24 hours which is longer than standard vitamin C. † In addition After-C is produced without the use of chemicals to neutralise levels pp therefore the drug does not increase the aridity in the stomach and acts mildly. After-C's proprietary formulation provides 24-hour immune and antioxidant support you can trust.,5
In the evening I drank at the onset of the disease in the morning like a cucumber,5
One of the best vitamin C,5
And many of the eminent doctors advise him,5
I drink with ARVI and ARI,5
vitamin c is the basis of your health you have to remember about it if you want to maintain good health and enjoy your health,5
Once a day excellent vitamin C is a good form for absorption by the body does not irritate the digestive tract. I drink after meals in the cold season not all the time of course I take breaks if I get sick then I double the dose.,5
Very good vitamin C. I buy it regularly. A large number of pills. I divide into 3 parts and during the day I accept,5
I trust the firm and the form of release.,5
Good form of vitamin C especially in cold season,5
I always take this vitamin C. The only negative is a huge pill,4
Of the minutes only the size of the capsules. But they can be divided then it is more comfortable to drink. In general excellent Vitamin C in the season of cold and crowns the most it. The dosage is what you need,5
Super convenient capsules are large but not critical. The dosage is large which is very valuable.,5
Excellent vitamin C I drink at the first sign of a cold if I get sick faster I go on the mend but the capsules are large ,5
His vitamin C with a patentee long-release formula Of anyone has problems with the gastrointestinal tract this vitamin C is yours very soft there is no aftertaste during the period of illness and cold it has never let down  Immunity Support ,5
I try to buy vitamin C in the form of After C. More expensive of course but it is really well absorbed in contrast to cheap ascorbic acid.,5
The tablets are large it is not convenient to drink whole moreover that vitamin C at a dosage of 1000 my may not be absorbed too large a dose so I crushed it by 2-3 times. It tastes tactless of course I wanted it to be at least a little sour,4
I divide one tablet into four parts every two to three hours. Supports immunity well during cold.,5
just an excellent class in the period when I drink up to 5 pieces per day under a cold or 1 per day for a good condition you can share a pill,5
Legendary Esther-S  I break it into 2 parts - I take it in the morning and in the evening True the pill has a sharp chip,5
Super vitamin c I ordered from different manufacturers all are good they cope with their task,5
In excellent preparation during the cold season I try to drink it every day it lasts for a long time. I crush 1 tablet into 3-4 doses per day. The only thing is being sold out very quickly.,5
surprised at the first signs of ARVI when taking one pill I just really feel how it becomes easier. amazing drug,5
It is necessary during the period of sinuses and cold. I bite off in small pieces throughout the day.,5
Excellent it S. Really works I drank today and tomorrow I am already healthy,5
His vitamin C has not been available for a long time. In the day I drink 2 tablets as prescribed by an endocrinologist,5
The most sought-after vitamin C with a good assimilation form,5
Super Vitamin C. Helps Right Virus,5
Good dosage and price. But a huge angular and rough pill. Not everyone can swallow this.,2
I drink as directed by a doctor. rationally half a tablet 4 times a day,5
Good vitamin c. He will continue to order,5
I really like this vitamin after you forget about a cold,5
I advise you to buy this drug an excellent antistress antioxidant immunomodulator reduces craving for sweets,5
Drink with the whole family when I feel that I have a cold I increase the dose. Very 2 hours I take a pill. Works,5
I really liked it Thank you ,5
when a cold approaches I take 2 tablets in the morning and in the evening and do not let myself get sick. the tablets are a little big but you can get used to,5
super cool product. took my sister several times on the advice of an endocrinologist,5
