review_contents,individual_rating
By baby is 4 years old eats them with pleasure. I know what is necessary for children with topic dermatitis. And also for children who are growing rapidly. A very useful supplement. But Yes. It's not difficult for you but I'm pleased,5
Very taste very healthy. Meg for bones brain growth is very useful and especially when you also take vitamin Of absorption will be better. Oddly enough my son was very thin they began to drink opera from Member and began to recover. By children eat vitamin with a bang. They are sour there is no fish smell. I advise everyone. Of my review was helpful to you please like,5
I bought a child 2.8 years old. Is a first acquaintance with vitamin it will do. The composition is not overloaded vitamin C D E and opera - 369. Meg from vegetable raw materials - china seed oil DHA is also vegetable - all oil  There is no fish in the composition. The marmalade is fragrant the slices themselves are soft and small to taste - sweet and sour very easy to chew I tried a couple of them myself. The jar is enough for a month of taking for our age. I did not cause galleries during the intake. In addition the child was not given anything from supplement. Sinus a star for a large amount of sugar in the composition. And so - quite pleasant fortified marmalade.,4
Delicious jelly vitamin the child liked 2.5 g eats without grimacing. I am satisfied with the composition there is no chemical smell.,5
Member eat porridge eat snacks opera is good too,5
Delicious vitamin daughter eats with pleasure,5
took milking children seemingly pleasant gumma sweets,5
Very cool for children and useful for me ,5
Grand prove over the years opera is good noon  Of you drink just for prevention then it is a great option but if it is prescribed by a doctor then the daily rate is very small Click like if my review was useful to you,5
I bought it for my 4-year-old twins the cold season slipped through without loss excellent taste and quality I recommend,5
Children love it Ask for more And I will buy an excellent composition again And without gelatin,5
I ordered a friend the composition is good. I would be grateful for the like,5
Excellent vitamin taste like summits can be allregic kiss Recommend,5
I took it for a trial I really liked the composition; let's see what the effect of the child will be,5
They opera bought for children. Delicious. Children like.,5
The girlfriend is happy. The borrowed for her daughter.,5
A very taste vitamin supplement and most importantly it is also useful The child eats with pleasure.,5
Great fish oil for little kiss,5
Very pleasant taste and aroma of vitamin the child liked it,5
Not a bad Meg supplement for children 2 years old the child likes,4
Very taste vitamin you have to hide from children,5
3 types of opera acids and taste and healthy liquid opera 3 are not drunk by children and they are happy to eat. if helpful click Yes,5
By daughter and nephew didn really like the taste of the gumma. Although i personally thought that the taste was good the kiss tend to spit it out when this gumma was given.,3
very taste very healthy my kiss like it,4
For a baby the ideal composition is vitamin and opera and vitamin D and vitamin C All the essentials and most importantly delicious summits,5
By baby eats these vitamin with pleasure he himself reminds me every day of taking The composition is simply wonderful.,5
The child likes it I will order more,5
Fool cheadle vitamin healthy. Children constantly ask I just hide them  children catch cold less,5
Super vitamin my son liked it. And the composition is good. Recommend,5
I like the gumma candles in this series because they don't stick to each other even if I save them. The sweetness is modest it is easy to eat and it contains a lot of nutrient so you can give your daughter peace of mind.,5
A friend ordered I liked the product very much. Recommends,5
Delicious children are delighted accepts I am happy,5
In excellent store of vitamin for children. The child eats with pleasure.,5
I didn't like it very low acid content just sweet summits,2
I like everything the child accepts with pleasure taste,5
The liquid version is not suitable for anyone take a closer look at this company. Children will appreciate and eat healthy marmalade with pleasure,5
Good opera for kiss. Especially for those who do not like in liquid form.,5
His is the only opera that a child eats,5
Good vitamin for children the full composition of daily vitamin is present I recommend it it tastes good marmalade. Children eat with pleasure,5
Children ask and ask for more,5
I took it for my son 6 years old. It this age the dosage is 3 pus per day. Too soft. Suitable for younger children,5
The child eats them with pleasure Advise,5
Favorite opera 3 in the form of jelly kiss love vitamin from this brand. They are very taste.,5
It tastes sweet and I have a two year old get used to it and love the taste,5
The child liked these vitamin. Even somehow they ended faster than all the previous ones due to the fact that the child himself remembered to eat the vitamin every day.,5
Very good vitamin the composition is not overloaded. It is easy to persuade a child to take vitamin as they are delicious. Meg for children is very beneficial for the development of general health. Please put it on Yes thank you very much ,5
I chose my son 3 years old. The task was to replace VitaMishka. Those. should be taste healthy and with some valuable content. The choice fell on Member. very famous manufacturer. Inspires confidence. Very soft marmalade. One shape. Nasty It doesn't smell like fish but it contains opera fatty acids. Ought analogy the smell was strongest. Rose 2 per day. But I want to eat more,5
Good vitamin no complaints. The child ate everything,5
I ordered it for children from two to seven years old. Children eat with pleasure no galleries. Vitamin taste good. Excellent value for money and quality. Recommend,5
Vitamin for kiss. They are asking for these. Delicious soft. I hope there is some benefit,5
I give my daughter 1.10 months she only likes to break it into 3-4 pieces for safety,5
I was looking for a cod liver oil drop and arrived at this product. The ingredient and taste are perfect and very delicious. It has a texture similar to jelly beans. There is a strong sense of fruit in the taste. It's a taste that kiss will love.,5
Any child will love to eat sweet summits. His is a safe bet when in doubt whether your child will drink the liquid version of Meg 3 which often tastes unpleasant to children. By child loves them very much and always asks for a supplement. There are not so many Meg 3 but for that vitamin D E C which are no less useful for the child's immunity are added in the correct forms. The jar will last for a month and the price is quite reasonable. Plus I have a lot of loyalty to the Member baby food brand. To I think this supplement is very successful.,5
Plant based opera is great a good option for those who do not like the taste of fish.,5
His is not too sweet. By daughter loves this. Hardness is also good.,4
Summits are harsh. The youngest did not eat them the older one eats. I shoot the star precisely for its rigidity.,4
Vice things to buy it from i her,5
Favorite opera 3 in the form of jelly kiss love vitamin from this brand. They are very taste.,4
I give the child almost 3 years old galleries have not been caused which pleases. hope everything is good,5
І смачно і корисно для дітей Омега 3- є будівельним матеріалом для мозку дитини зменшує синдром гіперактивності у дітей сприяє поліпшенню пам’яті і концентрації уваги бере участь у формуванні імунної системи. Рекомендую омега з ранніх років діткам коли вони ростуть і розвиваються.,5
Recommendation of a doctor I trust,5
Vice summits but sweet. The fish taste is felt in the distance but there is opera this is normal. It smells good but a little chemical. The child does not run after them with pleasure we will not take any more,4
Very taste to the baby is very easy to give. Lovely,5
The vitamin are great I chose them because here all three Meg DHA and multivitams are already included. I give the child for prophylaxis a course of 3 months 3 vitamin a day. He really likes the taste they are not entirely rubber soft. Allergies did not appear although he is prone. I am happy with the purchase. Thanks herd,5
Children will be happy to eat,4
The children liked it and it tastes sweet .. and they want more than 2 a day .. But we give them a pill when they wake up from sleep and the second is near sunset.,3
It tastes delicious ... the grain is sweet ... my children called it sweet,5
Good composition and well-known company Children love them,5
A wonderful preparation that contains opera fatty acids  the most essential vitamin vitamin C of. The gumma slices are delicious and aromatic the kiss are delighted with them.,5
The taste is not very good,3
The most delicious opera for kiss,5
The child takes them instead of candy he does not even notice that these are vitamin,5
Not much Meg for children from 2 years old His one is just that Children love it I take instead of those that were 1500 for 36 fish,5
Good composition vitamin  opera. Meg 3-6-9  DHA for health and development of plant origin. Also in the composition of vitamin C D E. I give a child 2.5 years old 2 pus per day morning and afternoon.,5
They have already drunk such things the child likes the taste and drinks without problems. He haven't noticed the effect yet but I think it helps somehow.,5
