review_contents,individual_rating
I liked this vitamin much more than KAL Drop D-3 and K-2 see my reviews moreover it is also much cheaper. Daily I give to children 3 and 5 years 3000 of 3 drops according to analyze 25- of D is at the level of 35-45 no  my 85-110 not  l. According to recent studies the recommended level of the harmony vitamin D is 40-60 no  my 100-150 not  l. Feedback helpful,5
That is there that children can not And until what age An anyone answer,5
Liquid vitamin Of on coronet oil at a dosage of 1000 of per 1 drop. In a bottle about 1070 drops the most budgetary Replenishing dose of 1-3 years 1500 do not exceed 2500 4-7 years 2000 do not exceed 4000 From 8 years 31-45 g 4000 Adults 5000-10000 Prophylactic dose  of Up to a year 1000 do not exceed 1500 1-18 years 1500 do not exceed 2500 Adults 2000-4000 Nursing 4000-6000 You need to take vitamin D all year round. In case of illness the first 3-5 days can be increased by 2 times. Letter to take in the morning invigorates. It is believed that It D is also good to take after 4 pm when calcium channels open. Cry this if the level does not rise within 3 months after the test. Click the button below if my review was helpful to you Some to my page and read more information reviews,5
He careful it is practically not absorbed with water West added to food. Good for kiss.,5
A good form of vitamin D-3. I don't like pills. I like the liquid form much more.,5
I bought it for myself first and now I give it to children children age 1.5 and 5 years. The effect is ambiguous the older child suffers from topic dermatitis and food galleries from birth and now it is a miracle - the skin has become softer and rashes in the form of spots have also become much less. From my own perspective I can say that I stopped being so exhausted all day I better fall asleep and get up. The youngest daughter's legs no longer sweat. I supplement my review I passed vitamin D with my son and it is increased in the body I cancel taking vitamin D for my son but I continue to give it to my daughter. There is definitely an effect and the picture on the delivery of tests for vitamin is changing. Well absorbed. The result is as they say on the face. I drink myself regularly,5
And the most versatile. His Of due to its dosage and composition will suit all family members. There are 1071 drops of 1000 of each. In Russia for children under 3 years of age the prophylactic dosage is 1500 of for adults 2000 of. Provided that there is no deficit. It contains only do and coronet oil must. Of has no aroma the taste is also neutral. The price already written for such a quantity is the most profitable on herb and the quality is good. Childproof lid. The only negative when it ends does not drip from the bottle you have to remove the dispense and drip with a pipette or just from the bottle. I would be grateful if you like the review,5
Us they say that everyone on the planet will get coronavirus this is inevitable. But how you meet him with what immunity - depends on you. It is already known that it is not vitamin C as previously thought that is responsible for immunity but vitamin D. The therapeutic dose of vitamin D the one that does not require testing is 1000-1500 of. To more is needed experts say that large doses of 3000 of with coronovirus are dangerous since calcium begins to wash out which leads to fragility of blood vessels. And this is very dangerous with the crown. In general observe the measure and raise immunity. It is more convenient to take in liquid form assimilation takes place faster. Recommend Like it if it was helpful. He will help each other earn points while there is such an opportunity.,5
Who does not like pills - the ideal option for vitamin Of. I take it for adults and myself.,5
I didn't give vitamin D since birth as it should be for some reason I thought that the sun was enough. The pediatrician having learned about this sent him to be tested immediately because the son was often ill. The analysis showed only 15 no  my and this despite the fact that 2 months before that we had a rest at sea. They began to take a therapeutic dose 3 drops tightened the indicator in 2 months to 42 no. Since then we have been drinking 1 drop on an going basis for prevention. The son is already 4 years old he is rarely sick he is a healthy cheerful child. Who would have thought that ordinary vitamin D raises immunity so much. Is soon as the first signs of the disease begin we double the dosage it works better than any antiviral ones Of it's not difficult like,5
Convenient dosage. I take 5 drops on the recommendation of a doctor my mood and skin quality have improved.,5
His is not the first time we buy this vitamin for our son gorgeous it lasts for a long time,5
Convenient to take in liquid form for babies the dosage is good for one year old babies one drop in the meal in the evening and you're done.,5
Vitamin D is taken by the whole family. I take liquid for children. For an adult in capsules.,5
Convenient dispense. I give 2 drops every day.,5
Good composition easy to dose. In the form of drops,5
Convenient bottle and dosage I always keep it in the refrigerator give 1 drop to children and 2 drops to adults daily,5
I was looking for such a Vitamin for a very long time I could not find it anywhere. They drank different for a year and nothing helped when this one was drunk for 1 month finally came back to normal and kept normal. I recommend it. It is convenient that they are liquid.,5
Very profitable 1000 units in 1 drop The whole family can drink,5
Excellent and acceptable vitamin D. Easy to dose I drink it myself and give it to children. 1000 of in 1 drop lasts for a long time,5
By beloved Of I also give a child from 1.5 years old 1 drop after breakfast,5
From a year old I gave a child such a do comfortable good and not expensive.,5
In excellent working drug. I give the child one drop from birth. There is no difference with children in composition only the dosage is higher. But as has long been known 400 units are not enough even for a newton. Therefore the price is much more profitable. To the teenager and myself I take more doses in capsules. Of my review was useful to you I will be grateful if you click YES,5
Very good and high action effect. He are happy with the whole family.,5
Of is a fat-double vitamin and should be taken in oily form. His drug is the ideal dosage for the whole family. I give 1000ME to the son of preschoolers 2000ME to my husband standard for adults and I take 10000ME as prescribed by the doctor and all from one bottle. Very comfortably. Cry it you will like it. Of the review is useful to you click yes please ...,5
Great for those who don't like pills. Good dosage. Price quality.,4
One of the best vitamin D. Very economical. 1 drop  1000 units He little the whole family. The oily taste is not harsh.,5
D-savior A budget option for the whole family,4
His was my first order for herb and I was not disappointed. I needed the liquid one. Same safe and sound packed securely. Thank you very much for the quality product. Now I will order only on herb,5
Good vitamin D good dosage 1 drop  1000 units. Very comfortably. But one drawback is that there is no vitamin Of in the composition. More convenient when you have it right away,5
Good composition. In excellent helper for maintaining immunity. I take regularly for myself and my loved ones.,5
I bought it for my son 8 years old. The drinks 3 drops every day after 2 weeks of taking it she noted that she stopped sweating in a dream. I became less irritable dark circles under my eyes disappeared. Excellent dosage economical. Recommended to friends.,5
He learn more about the importance of Of every day. Previously I could not even imagine that this vitamin is so important for teeth and skin and even for general well-being. Moreover in the winter season its lack strongly affects the body. And especially for children. the fact that it is in liquid form is convenient for taking children and adults like my husband who do not like pills will be delighted. Of course it is advisable first of all to check its amount in the body but I’ll say right away it’s hardly normal,5
And for the price it suits and for the composition I highly recommend it a really working drug,5
He take as an alternative to children's vitamin D,5
He order a second time. He give our son from 3 months according to the appointment of our endocrinologist. By son's vitamin D level is 66 which is very good. There were no side effects.,5
Convenient liquid format for both children and adults,5
A relatively expensive vitamin Of bought for a woman of 70 years. Taken in a prophylactic dose as recommended by a doctor. Price  quality. To flaws were found. Due to the liquid form it is convenient to adjust the dosage.,5
Of which I give to my children He like liquid better. 12 and 8 years old 2 drops,5
By husband and I started drinking 3 weeks ago and there is already an effect. I'm very happy I will still order I recommend,5
I'm taking it as an immune measure It's a fat-double vitamin so be careful not to take too much I haven't had a cold so far since I started taking it.,5
a very very profitable option if you do not have a deficiency and drink do only for prevention then it is perfect for the whole family,5
vitamin do very convenient packing lasts for a long time you can drink with the whole family,5
Good vitamin D pleasant to the taste I took with my son for 5 years dropped in the morning on sandwiched with butter and cheese or in porridge The child ate it with pleasure and reminded of it himself if I forgot Now I switched to the form in capsules of the same manufacturer I accept it on an going basis,5
Benefits To alcohol. Liquid form. Good dosage in one drop. Sinus without k if it can be considered a minus. I passed tests and I can absolutely say for sure that even without k do is well absorbed. It's just that it is absorbed even better with k,5
very convenient for children in drops enough for a long time And the price is decent I love vitamin do the general health improves the person is less sick everyone needs to drink,5
A very cool drug I advise you to try it I am sure you will be satisfied,5
there is no secret Vitamin Of is an important link for all body systems,5
enough for a long time in a child d raised it to the optical level in about 3 months,5
in view of the last circumstances they decided to drink themselves. He needed a shape that would fit both us and the children and this option turned out to be very suitable Moreover the quality of this vitamin is at the highest level  You cannot argue here the price and quality and economy who are in search of good It D take this form,5
The best vitamin Of for my children. The youngest is 2 years old the oldest is almost 8 years old. There is no need to buy them different bottles. I just dose the drops according to the age. Fortunately in 1 drop of 1000 of it is very easy to dose. Tastes neutral both children drink calmly,5
In excellent vitamin for adults and children,5
The action of vitamin  - ensures normal growth and development of bones prevents the development of rickets and osteoporosis by regulating mineral metabolism; - promotes muscle tone increases immunity is necessary for the sanctioning of the thyreoid gland and normal blood clotting; - helps the body to restore the protective sheaths surrounding the nerves; - participates in the regulation of blood pressure and heart rate; - inhibit the growth of cancer cells and cells.,5
To taste or smell. Works well no side effects,5
Finding this fall He drink with the whole family. Enough 1 drop per day dissolve in water it is better to drink with meals with more fatty foods. Supports immunity especially needed in the autumn-winter season to strengthen the protective functions of the body,5
Good vitamin D I drink it constantly throughout pregnancy good result ,5
Good volume for a reasonable price a lot of serving in this preparation convenient dosage can be taken by the whole family,5
In general it is recommended to take exactly the liquid form D I expect an excellent result I previously took another form D of the same company. Feels like everything is the same for whom it is convenient it is interesting to see the level of it. D. It is according to the analyze I will definitely write when I drink,5
A very effective composition. Convenient to drip. Good dosage. I give my son 4 years 2 drops in winter 1 in spring and 1 in autumn.,5
Liquid drops of vitamin D help to raise immunity and get rid of many associated diseases with its lack. Convenient bottle. I advise to buy,5
I bought this vitamin D for my mother she really liked it the indicator increased in the blood,4
Deal for tollers. Economical. wonderful vitamin D in liquid form with a convenient dosage and dispense neutral in taste,5
I accept it constantly without interruption.,5
I give a child from 3 years of age drops every day. He live in Murmansk. Pronounced taste of coronet oil.,5
A large enough dosage in one drop and a large bottle will last for a very long time. The cap provides protection from children if it is important for someone,5
I order constantly for daily use everything suits me,5
I'm happy with the order. packed perfectly delivery is fast.,5
I was looking for a good dosage of at least 1000 of for a child and the drops from NOW were very suitable For a child 8 years old a convenient dosage - 1 drop lasts for a very long time I store it in the refrigerator.,5
Very comfortably It seems to me that vitamin are better absorbed in liquid form.,4
NEVER CHOOSE PONY'S DELIVERY - of'S IMPORTANT of JUST CALL THE ROBOT ANSWERS THE PARCEL NUMBER LIES ALREADY 8 DAYS of THE WAREHOUSE WHY of DOESN'T DRIVE of of THE POSTAMAT - UNCLEAR BECAUSE NOBODY ANSWERS WHY IHERB LEFT FROM PERFECT BOXBERRY of HORRIBLE PONY - of of UNCERTAINABLE ,5
everything is fine but the lid with the dispense spoils the whole picture,3
I haven’t passed the second analysis for vitamin D yet but after the and week of use I see how the nails began to grow faster and stronger and the skin of the face looks wealthier. Before that I took the drug in capsules and it was also a worker but I took a break and my doctor advised me to reduce the dosage from 5000 to 2000 which I did after a break of 1 month. When I started taking this in drops I didn't really count on a tangible effect; I am 37 years old I take vitamin D on a regular basis I feel great if the drug is working. To these drops work I am very pleased with the purchase,5
One of the most important vitamin during a anaemic. Now values of qu in the body are associated with a more severe course of could. Of you are sick and have not previously taken q 3 it is recommended to take 30000 of for the first 3-5 days then reduce the dose to 5000-10000. The shape of the drops makes it easy to dose the vitamin. Now it is called the pro-harmony. Because without it our hormonal system will not work properly. By constant purchase. Before him I took d 3 in capsules at a dosage of 10000 of and in 10 months gained only 57. The liquid sublingual form allows you to replenished the vitamin much faster since with this intake D 3 enters the bloodstream directly passing the gastrointestinal tract. Considering that at the present time healthy non-inflamed intestines cannot be found with fire during the day I think the sublingual form is optical for taking. Of you take high doses of d 3 from 10000 of and above be sure to add vitamin K-2 μ-7 and magnesium so that calcium in the body does not accumulate in the wrong places vessels kidneys etc. I hope  my review was useful to you.,5
It is more convenient with a pipette for a year of use they are accustomed to this dispense the only drawback is that the child pills a little when he drinks himself,5
Superheer The best do The composition is like California but many times more profitable the dosage is 1000 of per 1 drop the number of drops is 1090 The composition is excellent ,5
I love the component and also the brand I am happy with my product.,5
Liquid is good. I like it,5
Convenient form of vitamin Of in the form of drops under the tongue. I drink constantly in the season of cold I increase the dosage.,5
Excellent and well absorbed good for children,5
In addition vitamin D is necessary for almost everyone but especially for those who are a lot indoors. Liquid vitamin Of with increased potent - a good price and a convenient form for those people who have problems swallowing tablet calculated forms.,5
It does not correspond to the number of drops declared but it comes with the rise in the level of vitamin D. The number of drops is less than the stated 1.5 times,4
It doesn't taste anything so I sprinkle it on your and eat it,5
Acting vitamin D is good but a bottle is not the most convenient option it leads over time.,4
Liquid D very convenient to use dosage can be adjusted. Convenient to give to children ,5
The price  quantity ratio super Peru for 3 children comes out profitable,5
